date,open,high,low,close,volume_btc,volume_usd,market_cap_all,fng_value,btc_dominance,neutral,positive,negative
2018-02-01,10112.6,10164.68,8411.11,9000.73,17746,162257631,458975313920,30,29,474,755,624
2018-02-02,9000.73,9090.0,7603.0,8845.07,21886,185823833,409918603264,15,44,476,836,666
2018-02-03,8845.07,9494.86,8123.62,9221.14,7572,66978512,448238616576,40,36,386,651,461
2018-02-04,9221.14,9353.45,7847.39,8162.94,8182,68994814,392657076224,24,31,388,590,490
2018-02-05,8162.94,8334.0,6500.0,6892.67,22800,166315391,335502278656,11,30,480,746,699
2018-02-06,6892.67,7944.0,5931.34,7682.75,29967,202478482,364774227968,8,48,550,797,785
2018-02-07,7682.75,8589.0,7200.0,7582.76,15859,125575748,389642911744,36,36,489,731,651
2018-02-08,7582.76,8638.99,7556.0,8200.0,12127,99256298,393357590528,30,35,514,622,675
2018-02-09,8200.0,8728.53,7750.0,8697.78,9425,77002096,418195439616,44,38,486,615,656
2018-02-10,8697.78,9069.0,8146.78,8553.5,6004,51732287,406044966912,54,31,344,542,522
2018-02-11,8553.5,8576.42,7824.48,8073.9,5306,43469260,410050199552,31,36,413,487,493
2018-02-12,8073.9,8985.0,8070.68,8900.0,5466,47208118,431149645824,42,35,502,531,647
2018-02-13,8900.0,8940.0,8379.0,8519.07,4953,42654131,421880070144,35,36,511,520,611
2018-02-14,8519.07,9510.0,8519.07,9480.27,8789,80166786,452022894592,55,37,480,565,567
2018-02-15,9480.27,10259.29,9353.0,10017.18,8989,88764794,476071624704,71,37,498,562,586
2018-02-16,10017.18,10307.6,9710.0,10183.63,5439,54605905,482094481408,67,37,441,552,544
2018-02-17,10183.63,11140.45,10039.73,11100.0,4311,45959466,506202685440,74,37,357,492,480
2018-02-18,11100.0,11270.0,10150.0,10403.01,6902,74029051,493823590400,63,37,369,484,488
2018-02-19,10403.01,11250.0,10315.0,11166.92,3764,40969900,503611588608,67,37,485,476,534
2018-02-20,11166.92,11750.0,11084.99,11206.22,6641,76268926,507869757440,74,38,435,556,564
2018-02-21,11206.22,11282.53,10248.0,10475.0,11441,122866113,454683983872,54,35,565,569,590
2018-02-22,10475.0,10939.9,9740.0,9829.96,10771,109881832,438184771584,44,38,579,526,594
2018-02-23,9829.96,10400.0,9595.0,10161.62,6470,64650739,441013403648,39,37,451,427,526
2018-02-24,10161.62,10534.77,9388.97,9697.21,5375,53590192,421957632000,31,37,354,396,400
2018-02-25,9697.21,9870.0,9290.0,9595.0,3491,33472164,429672529920,33,38,413,397,478
2018-02-26,9595.0,10433.88,9399.0,10300.0,5550,55993158,451876126720,37,41,503,450,607
2018-02-27,10300.0,10850.0,10117.0,10562.46,5538,58574042,460097060864,44,39,544,455,615
2018-02-28,10562.46,11050.0,10260.85,10296.86,6013,63890938,453338660864,41,40,527,461,558
2018-03-01,10296.86,11100.0,10200.0,10900.95,5125,54839997,461773373440,38,41,583,790,627
2018-03-02,10900.95,11200.0,10779.44,11027.77,4046,44474264,456427634688,47,41,491,751,639
2018-03-03,11027.77,11484.98,11026.91,11433.72,1842,20876860,460423200768,56,41,392,764,486
2018-03-04,11433.72,11500.0,11060.01,11467.19,1874,21117794,466225364992,44,43,448,689,465
2018-03-05,11467.19,11650.01,11400.0,11400.01,2939,33912541,467780534272,55,40,543,716,613
2018-03-06,11400.01,11401.64,10563.93,10696.87,5128,56123956,439715594240,59,41,620,701,616
2018-03-07,10696.87,10898.99,9375.0,9884.26,10297,103482427,398389510144,37,37,584,778,614
2018-03-08,9884.26,10100.0,9050.0,9295.77,8774,83652551,384929923072,39,39,540,756,590
2018-03-09,9295.77,9409.21,8370.0,9257.0,11095,98510525,371930628096,37,43,477,753,581
2018-03-10,9257.0,9515.21,8731.0,8769.2,4581,42340279,363530518528,39,38,464,604,484
2018-03-11,8769.2,9772.42,8544.95,9530.94,4575,42306636,389659787264,40,43,440,621,504
2018-03-12,9530.94,9898.0,8760.0,9105.0,7429,69137084,369360896000,41,38,561,656,560
2018-03-13,9105.0,9500.0,8850.0,9146.18,6443,58856352,368922427392,41,42,607,675,655
2018-03-14,9146.18,9366.16,7932.65,8198.82,9260,79124355,331257315328,40,38,559,681,560
2018-03-15,8198.82,8416.92,7675.35,8266.99,10294,82957878,329109405696,32,42,600,682,554
2018-03-16,8266.99,8607.11,7900.01,8265.81,6576,54696030,337868193792,33,45,519,631,584
2018-03-17,8265.81,8350.0,7737.49,7870.99,4357,35033565,309982724096,31,40,408,550,469
2018-03-18,7870.99,8297.0,7319.0,8197.29,9669,74104522,302395916288,29,46,447,645,500
2018-03-19,8197.29,8744.68,8119.7,8599.01,8472,71070074,326553763840,29,46,562,702,615
2018-03-20,8599.01,9037.0,8327.35,8904.23,7272,63129514,346653917184,37,47,603,679,577
2018-03-21,8904.23,9180.0,8755.0,8902.53,6594,59212481,346909409280,36,43,569,714,558
2018-03-22,8902.53,9100.0,8494.62,8710.44,6485,56753217,330003578880,36,43,601,554,696
2018-03-23,8710.44,8925.01,8288.01,8925.0,6207,52936947,331649253376,28,45,534,623,738
2018-03-24,8925.0,9000.0,8500.0,8540.33,3002,26488822,340143702016,32,45,404,590,429
2018-03-25,8540.33,8687.3,8375.5,8457.04,3802,32383644,333695647744,30,45,423,543,508
2018-03-26,8457.04,8495.73,7827.95,8149.46,6902,56193530,301159153664,31,43,568,585,620
2018-03-27,8149.46,8221.79,7753.0,7794.46,6505,51702143,304728735744,24,46,554,651,613
2018-03-28,7794.46,8095.0,7749.53,7941.87,5099,40255451,299930222592,24,44,556,566,566
2018-03-29,7941.87,7965.0,6903.0,7086.6,12113,90220518,269165281280,18,43,567,605,590
2018-03-30,7086.6,7271.9,6600.0,6838.71,11373,77813320,260883677184,12,45,496,652,490
2018-03-31,6838.71,7242.47,6788.51,6920.5,4842,33961333,262189203456,16,44,435,528,442
2018-04-01,6920.5,7043.5,6442.49,6811.02,5962,40038020,258279751680,16,47,391,576,438
2018-04-02,6811.02,7113.01,6766.84,7049.99,5330,37254176,261015961600,11,45,462,577,548
2018-04-03,7049.99,7500.0,7016.87,7418.53,7164,52515668,280625348608,22,46,501,612,560
2018-04-04,7418.53,7421.08,6707.5,6794.31,6865,48325954,259524575232,22,44,505,593,628
2018-04-05,6794.31,6923.01,6574.3,6777.0,7331,49348791,254436442112,17,45,474,626,554
2018-04-06,6777.0,6848.0,6512.79,6564.06,5906,39214142,249497731072,19,45,536,593,605
2018-04-07,6592.94,7069.18,6592.94,6895.99,2337,16178550,263458783232,20,46,398,503,403
2018-04-08,6895.99,7100.0,6889.5,7022.72,2494,17460763,264345567232,17,45,424,512,484
2018-04-09,7022.72,7176.99,6612.35,6771.01,4793,32762618,256407191552,21,44,558,557,541
2018-04-10,6771.01,6876.33,6651.12,6830.68,2802,19003389,264324431872,18,45,499,547,529
2018-04-11,6830.68,6966.84,6801.68,6939.43,2866,19778338,269939064832,20,44,573,564,508
2018-04-12,6939.43,8076.83,6766.18,7920.39,9957,74604260,303571337216,18,45,590,643,479
2018-04-13,7920.39,8223.58,7732.43,7875.94,7669,61464491,314708983808,23,40,515,688,510
2018-04-17,8052.27,8165.07,7820.01,7894.0,3078,24605816,325095161856,26,40,548,629,533
2018-04-18,7894.0,8227.32,7880.0,8167.0,3126,25187382,342154215424,24,42,586,608,511
2018-04-19,8167.0,8295.73,8090.0,8269.3,2787,22906354,355434004480,25,42,556,629,487
2018-04-20,8269.3,8932.16,8215.0,8855.49,4993,42325280,379837972480,26,39,519,611,447
2018-04-21,8847.07,9038.0,8602.08,8920.0,3399,29918579,380121907200,32,41,404,602,391
2018-04-22,8920.0,9017.0,8755.0,8800.0,1495,13291042,395180441600,31,39,409,592,448
2018-04-23,8800.0,8990.0,8775.0,8933.0,2063,18341146,399758327808,28,38,530,691,523
2018-04-24,8933.0,9740.97,8925.0,9649.99,5164,48118391,434234458112,29,39,600,827,609
2018-04-25,9649.99,9762.75,8755.0,8865.01,7596,70250882,404629389312,64,39,555,721,501
2018-04-26,8865.01,9315.24,8660.0,9281.95,4477,39771333,408038440960,47,40,519,687,477
2018-04-27,9281.95,9368.0,8901.27,8926.0,3278,30172815,408413569024,55,36,436,598,511
2018-04-28,8926.0,9422.29,8880.01,9343.83,2547,23518680,427804721152,54,38,405,581,444
2018-04-29,9343.83,9522.12,9176.76,9393.29,2040,19158173,433423286272,61,38,438,538,457
2018-04-30,9393.29,9440.91,9110.0,9244.38,2588,24032272,425304915968,59,36,568,637,548
2018-05-01,9244.38,9248.8,8816.08,9059.84,3399,30524866,419173629952,56,38,587,712,654
2018-05-02,9059.84,9259.0,8975.0,9211.7,2483,22642808,433020895232,52,37,544,668,697
2018-05-03,9211.7,9786.01,9163.25,9727.5,4921,46632706,454148980736,55,38,554,746,591
2018-05-04,9727.5,9780.0,9508.0,9691.37,3898,37570363,456580038656,56,36,559,732,599
2018-05-05,9691.37,9940.0,9668.67,9812.81,2078,20438119,461496942592,63,35,433,751,463
2018-05-06,9812.81,9890.0,9399.0,9599.88,1610,15460759,449628274688,67,37,457,635,429
2018-05-07,9599.88,9618.16,9175.0,9361.96,3300,30842280,444574007296,56,38,607,638,576
2018-05-08,9361.96,9450.0,9050.0,9181.42,2510,23130695,433593745408,62,37,591,694,521
2018-05-09,9181.42,9359.25,8953.26,9308.45,3506,32093682,433102749696,53,37,548,688,601
2018-05-10,9308.45,9387.98,9006.0,9017.58,3004,27801859,426520346624,63,35,591,718,590
2018-05-11,9017.58,9022.05,8350.18,8398.44,5238,45703932,382975410176,41,38,498,735,570
2018-05-12,8451.19,8647.84,8221.0,8466.31,2892,24255884,383141281792,44,36,409,664,348
2018-05-13,8466.31,8755.0,8340.1,8685.5,1369,11696058,410952105984,40,39,393,667,440
2018-05-14,8685.5,8899.62,8283.55,8682.73,4787,41260201,411815706624,40,40,539,712,598
2018-05-15,8682.73,8846.13,8418.65,8475.58,5301,45627564,393420963840,40,34,529,685,570
2018-05-16,8475.58,8501.53,8110.0,8344.94,7379,61025040,380234072064,32,36,575,676,545
2018-05-17,8344.94,8487.15,7999.0,8060.01,4268,35213650,374630416384,31,35,536,591,552
2018-05-18,8060.01,8279.0,7919.2,8230.0,3888,31448707,376172183552,37,39,516,562,468
2018-05-19,8230.0,8392.0,8152.49,8240.01,1379,11388658,377168756736,31,37,372,513,409
2018-05-20,8240.01,8600.0,8168.01,8515.17,1041,8774206,392750858240,32,39,417,540,447
2018-05-21,8515.17,8588.0,8315.49,8395.71,2113,17794228,382590353408,41,37,550,630,629
2018-05-22,8395.71,8402.79,7955.01,7985.77,3183,26123850,363982684160,30,36,589,613,639
